pmt_id,position_x,position_y,position_z,type_int,type_name
0,-99999.0,-99999.0,-99999.0,10,SPARE
1,5467.54,63.440000000000005,-6406.2699999999995,1,NORMAL
2,5615.16,266.8,-6251.09,1,NORMAL
3,5762.7300000000005,469.90999999999997,-6095.92,1,NORMAL
4,5910.5,673.2299999999999,-5940.54,1,NORMAL
5,7295.119999999999,3775.89,-1812.97,1,NORMAL
6,5402.51,349.82,-6438.4400000000005,1,NORMAL
7,5550.13,553.18,-6283.26,1,NORMAL
8,5697.849999999999,756.25,-6127.889999999999,1,NORMAL
9,2380.63,-176.29999999999998,-8059.18,1,NORMAL
10,5337.49,636.1999999999999,-6470.62,1,NORMAL
11,5485.209999999999,839.2700000000001,-6315.25,1,NORMAL
12,5632.83,1042.63,-6160.0599999999995,1,NORMAL
13,5272.759999999999,922.26,-6502.759999999999,1,NORMAL
14,5420.38,1125.62,-6347.57,1,NORMAL
15,6773.450000000001,1974.3799999999999,-4600.32,1,NORMAL
16,6668.18,1782.97,-4799.28,1,NORMAL
17,6563.03,1591.96,-4998.31,1,NORMAL
18,6457.8099999999995,1400.72,-5197.089999999999,1,NORMAL
19,6352.75,1209.37,-5396.18,1,NORMAL
20,6847.820000000001,1688.88,-4584.719999999999,1,NORMAL
21,6742.59,1497.64,-4783.5,1,NORMAL
22,6637.45,1306.63,-4982.53,1,NORMAL
23,6532.4400000000005,1115.46,-5181.4400000000005,1,NORMAL
24,6922.23,1403.55,-4568.9400000000005,1,NORMAL
25,6817.219999999999,1212.37,-4767.84,1,NORMAL
26,6712.07,1021.37,-4966.88,1,NORMAL
27,6996.860000000001,1118.29,-4553.29,1,NORMAL
28,6891.710000000001,927.28,-4752.320000000001,1,NORMAL
29,6115.15,1365.98,-5628.27,1,NORMAL
30,6023.8099999999995,1646.85,-5628.400000000001,1,NORMAL
31,5932.61,1927.55,-5628.400000000001,1,NORMAL
32,5841.32,2208.59,-5628.35,1,NORMAL
33,5750.119999999999,2489.29,-5628.35,1,NORMAL
34,5902.83,1452.25,-5814.700000000001,1,NORMAL
35,5811.49,1733.1200000000001,-5814.83,1,NORMAL
36,5720.34,2013.99,-5814.650000000001,1,NORMAL
37,5629.0,2294.8599999999997,-5814.78,1,NORMAL
38,5690.51,1538.52,-6001.12,1,NORMAL
39,5599.349999999999,1819.3899999999999,-6000.9400000000005,1,NORMAL
40,5508.02,2100.26,-6001.07,1,NORMAL
41,5478.58,1624.86,-6187.36,1,NORMAL
42,5387.240000000001,1905.73,-6187.49,1,NORMAL
43,6253.24,1566.14,-5409.95,1,NORMAL
44,6175.900000000001,2317.15,-5209.2,1,NORMAL
45,6267.1,2036.45,-5209.2,1,NORMAL
46,6358.4400000000005,1755.58,-5209.070000000001,1,NORMAL
47,6372.46,2225.8,-5008.63,1,NORMAL
48,6463.79,1944.9199999999998,-5008.5,1,NORMAL
49,6568.8,2134.37,-4807.94,1,NORMAL
50,5850.34,2755.55,-5396.2300000000005,1,NORMAL
51,6047.759999999999,2662.5599999999995,-5197.200000000001,1,NORMAL
52,6245.25,2569.82,-4998.42,1,NORMAL
53,6442.709999999999,2477.0099999999998,-4799.21,1,NORMAL
54,6640.34,2384.1,-4600.299999999999,1,NORMAL
55,5940.44,2937.14,-5181.599999999999,1,NORMAL
56,6137.77,2844.5,-4982.52,1,NORMAL
57,6335.4,2751.59,-4783.61,1,NORMAL
58,6532.68,2658.7799999999997,-4584.71,1,NORMAL
59,6030.460000000001,3119.08,-4966.93,1,NORMAL
60,6227.870000000001,3026.1000000000004,-4767.900000000001,1,NORMAL
61,6425.16,2933.29,-4569.0,1,NORMAL
62,6120.43,3300.85,-4752.4400000000005,1,NORMAL
63,6317.84,3207.87,-4553.41,1,NORMAL
64,7849.25,103.68,-3052.74,1,NORMAL
65,7816.3,396.80999999999995,-3069.96,1,NORMAL
66,7783.67,689.7199999999999,-3087.01,1,NORMAL
67,7750.72,982.6,-3104.1800000000003,1,NORMAL
68,7717.99,1275.71,-3121.51,1,NORMAL
69,7735.950000000001,225.74,-3296.7599999999998,1,NORMAL
70,7703.0,518.62,-3313.94,1,NORMAL
71,7670.370000000001,811.5300000000001,-3330.98,1,NORMAL
72,7637.65,1104.3899999999999,-3348.26,1,NORMAL
73,7622.65,347.55,-3540.7400000000002,1,NORMAL
74,7589.93,640.41,-3558.0099999999998,1,NORMAL
75,7557.3099999999995,933.3199999999999,-3575.05,1,NORMAL
76,7509.589999999999,469.34,-3784.81,1,NORMAL
77,7476.96,762.25,-3801.85,1,NORMAL
78,7852.14,1121.07,-2812.54,1,NORMAL
79,8065.33,576.59,-2294.4700000000003,1,NORMAL
80,7974.13,702.12,-2545.5299999999997,1,NORMAL
81,7882.83,827.6099999999999,-2796.82,1,NORMAL
82,8005.05,408.9,-2529.96,1,NORMAL
83,7913.75,534.39,-2781.25,1,NORMAL
84,7944.53,241.22,-2765.36,1,NORMAL
85,7807.98,1444.8500000000001,-2808.2299999999996,1,NORMAL
86,7899.28,1319.3600000000001,-2556.9300000000003,1,NORMAL
87,7990.48,1193.83,-2305.87,1,NORMAL
88,8081.78,1068.09,-2054.53,1,NORMAL
89,8172.99,942.56,-1803.47,1,NORMAL
